Index;DOI;Titre;Auteur(s);Type d’article;Année;Type de critère (qualité, performance, culturel, etc.);Terme original (EN);Critère d’évaluation (FR);Définition du critère;Type du critère (Métrique, Capacité ou Mixte);Type de source / Méthodo;Type de contribution (modèle, framework, métrique, retour terrain);Etude terrain ? (Oui/Non);Interprétation stratégique / objectif  / valeur recommandée pour/ du critère (si disponible);Impact reconnu dans la littérature (si disponible);Localisation (section / figure);Inclus dans la synthèse ? (Par défaut, Oui);Apports et limites du critère (fréquence, applicabilité, terrain, remarques);ID de la métrique dans l’article
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;qualité;Mean Time To Recover (MTTR);Temps moyen pour restaurer un service après une défaillance;Temps de récupération approprié après incident en production;Métrique;MLR;Framework, métriques;Non;"MTTR doit être aussi court que possible ; il contribue à la satisfaction client, à la rapidité de livraison et à la maîtrise des coûts.";;Table 5;Oui;Peut être difficile à estimer dans des environnements non monitorés;M01
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;performance;Mean Lead-time for Changes (MLT);Délai moyen entre commit et production;Temps moyen pour qu’un code soit déployé en production;Métrique;MLR;Framework, métriques;Non;Plus il est court, plus le feedback est rapide, permettant des corrections ou livraisons plus agiles.;;Table 5;Oui;Intéressant mais difficile à mesurer sans pipeline automatisé;M02
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;performance;Deployment Frequency (DF);Fréquence de déploiement;Nombre de déploiements en production sur une période donnée;Métrique;MLR;Framework, métriques;Non;"Les meilleurs performeurs déploient plusieurs fois par jour ; permet de répondre vite aux besoins.";;Table 5;Oui;"Facilement mesurable ; bonne visibilité sur la vélocité de l'équipe";M03
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;qualité;Change Failure Rate (CFR);Taux d’échec des changements;Pourcentage des déploiements causant des pannes en production;Métrique;MLR;Framework, métriques;Non;"Doit être le plus bas possible ; indicateur critique pour la stabilité et la satisfaction client.";;Table 5;Oui;Essentiel pour la fiabilité;M04
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;qualité;Service Availability and Uptime;Disponibilité du service;Pourcentage de disponibilité continue du service;Métrique;MLR;Framework, métriques;Non;"Cible réaliste : 99,999% ; suivre les indisponibilités planifiées vs non planifiées.";;Table 5;Oui;Métrique logique. Il faut réussir à distinguer pannes prévues et imprévues.;M05
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;performance;Deployment Duration Time;Durée de déploiement;Durée d’un déploiement d’un artefact en production;Métrique;MLR;Framework, métriques;Non;Permet d’identifier les goulots d’étranglement et de libérer du temps pour ajouter de la valeur.;;Table 5;Oui;Peut se faire via des améliorations simples (optimisation scripts, outils).;M06
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;qualité;Mean Time To Detection (MTTD);Temps moyen de détection;Temps entre le début d’un problème et sa détection;Métrique;MLR;Framework, métriques;Non;"Révèle l’efficacité de la supervision ; un temps élevé = problèmes de suivi.";;Table 5;Oui;Nécessite des alertes et des outils de monitoring.;M07
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;performance;Application Response Time;Temps de réponse applicatif;Durée de réponse à une requête utilisateur;Métrique;MLR;Framework, métriques;Non;"Temps élevé = mauvaise expérience utilisateur ; cause possible : code, accès aux données, etc.";;Table 5;Oui;Difficile à corriger, nécessite d’investiguer l'infrastructure et du code.;M08
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;qualité;Defect Escape Rate;Taux d’évasion de défauts;Nombre de défauts découverts après mise en production;Métrique;MLR;Framework, métriques;Non;Un taux anormalement élevé indique des lacunes dans les tests ou l’assurance qualité.;;Table 5;Oui;Indicateur d’alerte sur la qualité du système;M09
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;performance;Cycle Time Value (CTV);Durée du cycle de développement;Temps entre la décision de changement et la mise en production;Métrique;MLR;Framework, métriques;Non;Un cycle long ralentit les livraisons, souvent dû à des tâches manuelles.;;Table 5;Oui;Reflète bien la fluidité du cycle de dev.;M10
